# date        : 2026-09-23 09:15:57 KST
# git commit  : 240394b9
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D1
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : NEXT_EXPERIMENTS §3.1 step 1 -- the pre-registered gates GA-GD (04_SPEC §5, unrelaxed) on a review_next D1 sibling
# checkpoint  : ckpt_review_next/aug_D1_N160000_a1_best.pt  sha256[:16] a68263d9d388b1fd  role best  epoch 164 (= last file best_epoch 164: True)
# training    : tag aug_D1_N160000_a1  rung SX160000 attempt 1  phase_aug True  200 ep  stopped_by patience
# gate call   : score.gates_D1(prior=S, n_eval=512, n_jac=64, stream=10, device=cuda) = run_samplecx.py / runner cmd_gate
# judgement   : A1 continues only on PASS (§3.1 step 1); no BLER is looked at before this verdict.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# CIRCULAR TESTBED -- true prior is defined as a grid GMM; the GMM arm is correctly specified.
# No claim about learned priors can be made from this table.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

    hp          {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}
    GA          9.53939e-16   <= 1e-06      PASS
    GB          4.80318e-04   <= 0.05       PASS
    GC          8.14252e-02   <= 0.15       PASS
    GD          6.60872e-02   <= 0.2        PASS
    GD_trace    1.09402e-02   relative error of tr(J)/N -- REPORTED, NOT the gate
    VERDICT   PASS   (PASS = GA and GB and GC and GD, 04_SPEC §5)
    NOTE      GA is identically zero by construction for this model family; it guards score-path vs x0-path inconsistency only, and PASS therefore rests on GB/GC/GD.

    per sigma grid point (FROZEN A4 grid; GD = full-matrix J_rel_fro)
      k            nu         sigma            GA            GB            GC            GD      GD_trace      herm_res      nmse_hat     nmse_star     alpha_hat    alpha_star  n_jac
      0   2.16952e-03   3.29357e-02   4.93708e-16   2.39082e-05   8.14252e-02   1.20436e-03   2.87593e-04   1.32516e-03   2.24491e-03   2.24486e-03   9.86363e-01   9.86642e-01     64
      1   3.03160e-03   3.89333e-02   1.57939e-16   2.78747e-05   7.71761e-02   1.71313e-03   5.61638e-04   1.60546e-03   3.12096e-03   3.12087e-03   9.82105e-01   9.81553e-01     64
      2   4.23623e-03   4.60230e-02   2.28624e-16   8.62457e-05   8.08906e-02   2.75425e-03   1.14016e-03   2.01272e-03   4.33103e-03   4.33066e-03   9.75749e-01   9.74638e-01     64
      3   5.91953e-03   5.44037e-02   9.53939e-16   2.07948e-05   6.90079e-02   2.88181e-03   6.62367e-04   2.50892e-03   5.99472e-03   5.99459e-03   9.65970e-01   9.65331e-01     64
      4   8.27170e-03   6.43106e-02   5.80332e-16   1.16524e-04   7.79971e-02   4.75732e-03   2.28949e-03   3.11234e-03   8.27213e-03   8.27117e-03   9.55146e-01   9.52965e-01     64
      5   1.15585e-02   7.60215e-02   3.78183e-16   1.03893e-04   6.58492e-02   5.39714e-03   1.55247e-03   4.27814e-03   1.13666e-02   1.13655e-02   9.38252e-01   9.36797e-01     64
      6   1.61514e-02   8.98649e-02   3.81759e-16   1.29782e-04   6.14543e-02   6.56825e-03   1.08061e-03   5.70545e-03   1.55394e-02   1.55374e-02   9.17062e-01   9.16078e-01     64
      7   2.25693e-02   1.06229e-01   7.84135e-16   1.57221e-04   5.94212e-02   8.35696e-03   1.47063e-03   7.50241e-03   2.11124e-02   2.11091e-02   8.91445e-01   8.90146e-01     64
      8   3.15374e-02   1.25573e-01   5.68651e-16   2.15492e-04   5.50061e-02   1.03114e-02   8.29005e-04   9.42216e-03   2.84761e-02   2.84700e-02   8.58936e-01   8.58548e-01     64
      9   4.40690e-02   1.48440e-01   5.61091e-16   2.84821e-04   5.26835e-02   1.30793e-02   1.21053e-03   1.22705e-02   3.80906e-02   3.80797e-02   8.21934e-01   8.21155e-01     64
     10   6.15801e-02   1.75471e-01   1.68181e-16   3.60118e-04   4.93488e-02   1.60895e-02   2.24135e-03   1.54988e-02   5.04866e-02   5.04684e-02   7.79922e-01   7.78219e-01     64
     11   8.60495e-02   2.07424e-01   1.52058e-16   4.51557e-04   4.60524e-02   1.94010e-02   1.39702e-03   2.01231e-02   6.62651e-02   6.62352e-02   7.30916e-01   7.30367e-01     64
     12   1.20242e-01   2.45196e-01   4.42003e-16   4.80318e-04   4.34332e-02   2.36114e-02   1.62682e-03   2.58229e-02   8.60842e-02   8.60429e-02   6.79018e-01   6.78507e-01     64
     13   1.68021e-01   2.89846e-01   3.95894e-16   3.64267e-04   4.08088e-02   2.83295e-02   2.78390e-03   3.18172e-02   1.10639e-01   1.10599e-01   6.25202e-01   6.23677e-01     64
     14   2.34785e-01   3.42626e-01   4.46266e-16   1.25340e-04   3.79125e-02   3.34678e-02   3.77600e-03   3.75715e-02   1.40627e-01   1.40610e-01   5.68853e-01   5.66917e-01     64
