# date        : 2026-09-21 22:23:03 KST
# git commit  : f0b6e5e
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D1
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : conf/04_SPEC_diffusion.md §5 -- the pre-registered quality gates GA-GD, on every ladder checkpoint
# checkpoints : 1 found under /home/HTJ/t2/conf/ckpt_C (filter: ckpt=ckpt/sx_V2_N160000_D1_a3.pt)
# device      : cuda for the gate only; the receiver stays CPU/complex128 for every arm
# judgement   : the ladder is judged by THESE numbers and never by a BLER (01_RULES §5).
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# CIRCULAR TESTBED -- true prior is defined as a grid GMM; the GMM arm is correctly specified.
# No claim about learned priors can be made from this table.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

GA -- STRUCTURAL ZERO.  READ THIS BEFORE READING ANY GA NUMBER BELOW.
--------------------------------------------------------------------------------------------------------------
GA is identically zero by construction for this model family; it guards score-path vs x0-path inconsistency only, and PASS therefore rests on GB/GC/GD.
--------------------------------------------------------------------------------------------------------------

GD -- the FULL Wirtinger matrix (relative Frobenius error of J), tolerance 0.20 unchanged.
     GD_trace (relative error of tr(J)/N) is reported beside it and is NOT the gate.
     conf/DECISIONS.md 2026-09-20 12:35; fixed before any checkpoint was gated.

=== D1V2160000 attempt 3   ckpt/sx_V2_N160000_D1_a3.pt
    hp          {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1, 'head': 'energy'}
    evaluated on n_eval=512 held-out samples (common.train_rng stream 10), n_jac=64, 8x4, prior S
    GA          9.71161e-16   <= 1e-06      PASS
    GB          4.54217e-03   <= 0.05       PASS
    GC          1.67378e-01   <= 0.15       FAIL
    GD          8.14335e-02   <= 0.2        PASS
    GD_trace    1.59462e-02   relative error of tr(J)/N -- REPORTED, NOT the gate
    VERDICT   FAIL   (PASS = GA and GB and GC and GD, 04_SPEC §5)

    per sigma grid point (the grid is the FROZEN A4 measurement; GD = full-matrix J_rel_fro)
      k            nu         sigma            GA            GB            GC            GD      GD_trace      herm_res      nmse_hat     nmse_star     alpha_hat    alpha_star  n_jac
      0   2.16952e-03   3.29357e-02   4.39862e-16   3.18861e-04   1.65715e-01   2.82758e-03   3.20717e-04   7.39700e-18   2.24558e-03   2.24486e-03   9.86592e-01   9.86642e-01     64
      1   3.03160e-03   3.89333e-02   1.46698e-16   4.23145e-04   1.67202e-01   4.05011e-03   4.81560e-04   1.05437e-17   3.12219e-03   3.12087e-03   9.81483e-01   9.81553e-01     64
      2   4.23623e-03   4.60230e-02   2.52347e-16   5.33514e-04   1.67378e-01   5.64008e-03   7.10751e-04   1.76141e-17   4.33297e-03   4.33066e-03   9.74361e-01   9.74638e-01     64
      3   5.91953e-03   5.44037e-02   9.71161e-16   7.42349e-04   1.62001e-01   7.50290e-03   9.28397e-04   2.12717e-17   5.99904e-03   5.99459e-03   9.65221e-01   9.65331e-01     64
      4   8.27170e-03   6.43106e-02   5.94319e-16   1.03501e-03   1.60759e-01   1.02822e-02   1.27080e-03   2.49858e-17   8.27973e-03   8.27117e-03   9.52848e-01   9.52965e-01     64
      5   1.15585e-02   7.60215e-02   3.89549e-16   1.40214e-03   1.57009e-01   1.36363e-02   1.71219e-03   4.39439e-17   1.13814e-02   1.13655e-02   9.36180e-01   9.36797e-01     64
      6   1.61514e-02   8.98649e-02   3.71366e-16   1.64949e-03   1.46756e-01   1.70372e-02   2.09361e-03   4.73685e-17   1.55630e-02   1.55374e-02   9.16274e-01   9.16078e-01     64
      7   2.25693e-02   1.06229e-01   7.54590e-16   2.19250e-03   1.41369e-01   2.20060e-02   2.64499e-03   5.99948e-17   2.11554e-02   2.11091e-02   8.90140e-01   8.90146e-01     64
      8   3.15374e-02   1.25573e-01   5.39229e-16   2.59471e-03   1.31350e-01   2.68931e-02   3.23343e-03   7.87211e-17   2.85439e-02   2.84700e-02   8.58472e-01   8.58548e-01     64
      9   4.40690e-02   1.48440e-01   5.47211e-16   3.06473e-03   1.21852e-01   3.27386e-02   4.07358e-03   8.43161e-17   3.81964e-02   3.80797e-02   8.21458e-01   8.21155e-01     64
     10   6.15801e-02   1.75471e-01   1.53326e-16   3.39865e-03   1.09908e-01   3.77870e-02   4.82321e-03   9.93810e-17   5.06399e-02   5.04684e-02   7.77472e-01   7.78219e-01     64
     11   8.60495e-02   2.07424e-01   1.61466e-16   3.80366e-03   9.75613e-02   4.28076e-02   5.57881e-03   1.32886e-16   6.64871e-02   6.62352e-02   7.30160e-01   7.30367e-01     64
     12   1.20242e-01   2.45196e-01   3.91126e-16   4.14394e-03   8.62493e-02   4.82715e-02   6.69653e-03   1.85694e-16   8.63994e-02   8.60429e-02   6.79049e-01   6.78507e-01     64
     13   1.68021e-01   2.89846e-01   4.18999e-16   4.44595e-03   7.54139e-02   5.32220e-02   7.50446e-03   2.00236e-16   1.11091e-01   1.10599e-01   6.24533e-01   6.23677e-01     64
     14   2.34785e-01   3.42626e-01   4.48804e-16   4.54217e-03   6.51023e-02   5.72177e-02   8.27833e-03   2.74658e-16   1.41248e-01   1.40610e-01   5.68343e-01   5.66917e-01     64
