# date        : 2026-09-23 08:17:39 KST
# git commit  : d2bab1d6
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# arm list with per-arm notes (06_SPEC §5):
#   R3-bigamp     : BiG-AMP prior: i.i.d. CN(0,1/Nr) -- correlated prior not supported by Table III (structural limitation)
#   R4-llr        : same, Module B mode='llr' (the paper's 'LLR Turbo' ablation)
#   R4-scvamp     : channel estimation = classical APP-LMMSE (no LOO); only the Onsager extrinsic interface follows arXiv:2604.19061
#   R0-pilot      : 1-PASS arm -- reported at iteration index 0 ('R0-pilot (@1)'); 'pilot_C (@16)' is the
#                   SAME receiver's 16-iteration trajectory, printed for context only.
#   M-ours-*      : differ from R2-ours-G in Module H and nothing else (test M2); Module H, K and the clip
#                   rule are in the run header of conf/results/ and in the raw meta of each point.
# fit/training cost (GMM EM wall-clock) is a column of table A and is never left blank.
# aggregates KEEP failed and diverged blocks; where a subset mean is printed, the full-set mean is beside it.
# Stage C arms present in this run (10_SPEC §3b / §3c) -- the pre-registered Stage A/B verdicts are
# UNCHANGED by this file and M-ours-dscore stays BLOCKED in the pre-registered table:
#   M-ours-dscore-C-V0  : Stage C V0 (PRIMARY) -- learned prior at N', D-14 MATRIX site, pre-registered score wiring, unchanged
#   M-ours-dscore-C-V1  : Stage C V1 -- V0 + (F1) symmetric-PSD projection of the D-14 site (ScorePrior(psd_project=True))
#   M-ours-dscore-C-V4  : Stage C V4 -- D-14 matrix site REPLACED by the D-13 belief scalarisation (hsite=scalar, scal=belief); POST-HOC registered, observed in the H4 diagnostic BEFORE registration (10_SPEC §3c)
#   M-ours-dscore-C-V4b : Stage C V4b -- as V4 but scal=site instead of scal=belief (10_SPEC §3c, "동일하되 scal=site. 부수 보고용"); registered with V4, wired only on 2026-09-21 after an audit found it had been dropped
#   M-ours-bstar-scalar : Stage C CONTROL (10_SPEC §3c, MANDATORY) -- the b* GMM through V4's EXACT wiring: if scalarisation also helps the GMM, the gain belongs to the SITE, not to the learned prior
# 
# training budget (N_train, channel samples) of EVERY arm -- 10_SPEC A3.  The GMM arms and the learned arms are only equal-budget when their N_train below are EQUAL; read the numbers, not the arm names.  The GMM re-fit at N'=1.6e5 may not have finished when this table was written.
# per-arm training budget (arms absent from the raw files are simply not listed):
#   R0-pilot            : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R1-turbo            : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R2-ours-G           : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R3-bigamp           : N_train=0 -- i.i.d. CN(0,1/Nr) prior, fits nothing
#   R4-llr              : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R4-scvamp           : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-gmm32        : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-bstar        : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-dscore-C-V0  : N_train=1610000  rung=D2SXNR1610000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_NR16_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V1  : N_train=1610000  rung=D2SXNR1610000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_NR16_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4  : N_train=1610000  rung=D2SXNR1610000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_NR16_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4b : N_train=10000 -- unclassified arm, quoting the point's channel-set size
#   M-ours-bstar-scalar : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R5-genie            : N_train=n/a -- genie: the true H is given
#   dscore_status       : ABSENT -- no GATE-PASSING checkpoint (04_SPEC §5 gates GA-GD): no gate-passing checkpoint for D2; recorded PASS rows: none (searched conf/results/gate_D2.txt and LADDER.md)
#   stagec_ckpt         : /home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt
#   stagec_gate         : NO GATE RECORD mentions d2sx_NR16_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   stagec_status       : built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none) | V1 (psd_project=True): built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_NR16_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
#   stagec_ckpt_id      : sha256[:16]=d7b1af69091e33b8 epoch=1688 best_epoch=1668 role=legacy-last 16x4 | BEST_WEIGHTS_UNAVAILABLE: evaluated = last-epoch EMA, reported best_val belongs to best_epoch
# cell C6: 16x4 T=16 Tp=4 prior S2  SNR grid ['-3', '+0', '+3', '+6', '+9', '+12', '+15'] dB  n=2560 per point  outer iterations=16  b*=kron (kron K=128)
#   run params as recorded in the raw file: beta=0.7  dtype=complex128/float64  iters=16  n=40  seed=20260926  skip=0  snr=-3.0  t_in=5
# ====================================================================================================
# CLAIM TESTBED -- sparse specular; conditional Gaussianity broken (see T2d). Upper bound = genie only.
# ====================================================================================================

============================== TABLE A -- per-cell arm comparison (08_SPEC §1) ==============================
cell entry = BLER (95% Wilson CI) / BER / NMSE_H  at the arm's reporting iteration
reporting iteration: @16 for every arm except R0-pilot, which is the 1-PASS arm and is read @1;
'pilot_C (@16)' is the SAME receiver's 16-iteration trajectory, printed for context only.

--- cell C6 (16x4, T=16, Tp=4, K=42)  prior S2  testbed D2   n per SNR: [2560, 2560, 2560, 2560, 2560, 2560, 2560]   b* = kron
  arms absent from the raw files (see 01_RULES §6 -- BLOCKED / FAILED-VERIFICATION): ['M-ours-dscore']
  arm                              SNR -3 dB                            SNR +0 dB                            SNR +3 dB                            SNR +6 dB                            SNR +9 dB                            SNR +12 dB                           SNR +15 dB             
  R0-pilot (@1)       0.391(0.372,0.410) 1.1e-01 3.11e-01  0.168(0.154,0.183) 4.7e-02 1.87e-01  0.098(0.087,0.110) 2.8e-02 1.05e-01  0.057(0.049,0.067) 1.5e-02 5.60e-02  0.037(0.030,0.045) 9.1e-03 2.91e-02  0.025(0.020,0.032) 6.3e-03 1.50e-02  0.021(0.016,0.027) 5.1e-03 7.64e-03 
  pilot_C (@16)       0.147(0.134,0.161) 5.1e-02 3.11e-01  0.044(0.036,0.052) 1.6e-02 1.87e-01  0.027(0.021,0.034) 1.0e-02 1.05e-01  0.016(0.011,0.021) 6.1e-03 5.60e-02  0.008(0.005,0.012) 3.0e-03 2.91e-02  0.006(0.004,0.010) 2.3e-03 1.50e-02  0.002(0.001,0.005) 8.3e-04 7.64e-03 
  R1-turbo            0.262(0.245,0.279) 8.7e-02 1.26e-01  0.104(0.092,0.116) 3.4e-02 6.43e-02  0.053(0.045,0.063) 1.8e-02 3.35e-02  0.031(0.025,0.038) 1.1e-02 1.73e-02  0.015(0.011,0.020) 4.5e-03 8.76e-03  0.011(0.007,0.015) 3.0e-03 4.49e-03  0.005(0.003,0.009) 1.7e-03 2.27e-03 
  R2-ours-G           0.113(0.102,0.126) 4.2e-02 1.20e-01  0.046(0.038,0.054) 1.8e-02 6.33e-02  0.025(0.019,0.031) 1.0e-02 3.33e-02  0.014(0.011,0.020) 6.1e-03 1.73e-02  0.008(0.005,0.012) 3.0e-03 8.75e-03  0.004(0.002,0.007) 1.6e-03 4.48e-03  0.002(0.001,0.005) 1.1e-03 2.27e-03 
  R3-bigamp           0.416(0.397,0.436) 1.4e-01 4.97e-01  0.187(0.172,0.203) 6.6e-02 2.98e-01  0.093(0.082,0.104) 3.4e-02 1.49e-01  0.057(0.049,0.067) 2.4e-02 6.28e-02  0.052(0.044,0.062) 2.2e-02 2.41e-02  0.064(0.055,0.074) 2.7e-02 9.07e-03  0.051(0.043,0.060) 2.0e-02 3.52e-03 
  R4-llr              0.845(0.830,0.858) 6.5e-01 1.46e+00  0.533(0.513,0.552) 4.5e-01 2.11e-01  0.300(0.282,0.318) 2.6e-01 3.66e-02  0.170(0.156,0.185) 1.5e-01 1.81e-02  0.118(0.106,0.131) 1.0e-01 9.04e-03  0.090(0.079,0.102) 7.7e-02 4.59e-03  0.071(0.062,0.082) 5.3e-02 2.30e-03 
  R4-scvamp           0.318(0.301,0.337) 1.0e-01 1.30e-01  0.145(0.132,0.159) 4.7e-02 6.51e-02  0.089(0.079,0.101) 2.9e-02 3.38e-02  0.056(0.048,0.066) 1.8e-02 1.75e-02  0.036(0.030,0.044) 1.1e-02 8.81e-03  0.028(0.022,0.035) 9.1e-03 4.52e-03  0.021(0.016,0.027) 7.7e-03 2.28e-03 
  M-ours-gmm32        0.099(0.088,0.111) 3.6e-02 1.00e-01  0.037(0.030,0.045) 1.4e-02 5.38e-02  0.021(0.016,0.027) 8.5e-03 2.85e-02  0.010(0.007,0.014) 4.0e-03 1.51e-02  0.008(0.005,0.012) 3.2e-03 7.77e-03  0.004(0.002,0.007) 1.6e-03 3.99e-03  0.002(0.001,0.005) 8.8e-04 2.02e-03 
  M-ours-bstar        0.081(0.071,0.092) 2.9e-02 8.70e-02  0.032(0.026,0.039) 1.3e-02 4.72e-02  0.018(0.014,0.024) 7.5e-03 2.50e-02  0.010(0.007,0.015) 4.0e-03 1.33e-02  0.004(0.002,0.008) 1.7e-03 6.88e-03  0.004(0.002,0.007) 1.6e-03 3.57e-03  0.004(0.002,0.007) 1.6e-03 1.83e-03 
  M-ours-dscore-C-V0  1.000(0.999,1.000) 4.9e-01 3.65e+01  1.000(0.998,1.000) 4.9e-01 1.95e+01  0.999(0.997,1.000) 4.9e-01 1.15e+01  0.995(0.992,0.997) 4.8e-01 6.51e+00  0.972(0.965,0.978) 4.6e-01 3.44e+00  0.916(0.904,0.926) 4.2e-01 1.79e+00  0.710(0.692,0.727) 3.1e-01 8.32e-01 
  M-ours-dscore-C-V1  0.020(0.016,0.027) 7.4e-03 2.80e-02  0.007(0.004,0.011) 2.6e-03 1.45e-02  0.005(0.003,0.008) 1.6e-03 7.27e-03  0.003(0.001,0.006) 1.1e-03 3.97e-03  0.000(0.000,0.002) 1.5e-04 2.13e-03  0.001(0.000,0.003) 2.4e-04 1.21e-03  0.001(0.000,0.003) 5.5e-04 6.55e-04 
  M-ours-dscore-C-V4  0.027(0.021,0.034) 9.3e-03 2.75e-02  0.012(0.009,0.017) 3.9e-03 1.42e-02  0.004(0.002,0.008) 1.5e-03 7.12e-03  0.003(0.002,0.006) 1.4e-03 3.85e-03  0.001(0.000,0.003) 3.3e-04 2.06e-03  0.001(0.000,0.003) 3.3e-04 1.18e-03  0.002(0.001,0.004) 5.6e-04 6.36e-04 
  M-ours-dscore-C-V4b 0.029(0.023,0.037) 1.1e-02 2.99e-02  0.011(0.008,0.016) 3.8e-03 1.53e-02  0.004(0.002,0.007) 1.4e-03 7.63e-03  0.003(0.002,0.006) 1.3e-03 4.07e-03  0.001(0.000,0.003) 5.2e-04 2.16e-03  0.001(0.000,0.003) 2.7e-04 1.22e-03  0.002(0.001,0.004) 4.3e-04 6.59e-04 
  M-ours-bstar-scalar 0.102(0.091,0.114) 3.8e-02 8.82e-02  0.043(0.035,0.051) 1.6e-02 4.74e-02  0.024(0.019,0.030) 9.2e-03 2.50e-02  0.011(0.008,0.016) 4.5e-03 1.32e-02  0.007(0.005,0.012) 2.7e-03 6.85e-03  0.005(0.003,0.008) 1.9e-03 3.56e-03  0.005(0.003,0.008) 1.8e-03 1.82e-03 
  R5-genie              0.009(0.006,0.013) 3.1e-03 nan       0.004(0.002,0.007) 1.3e-03 nan       0.003(0.002,0.006) 1.3e-03 nan       0.002(0.001,0.005) 9.5e-04 nan       0.000(0.000,0.002) 2.7e-04 nan       0.001(0.000,0.003) 2.9e-04 nan       0.000(-0.000,0.001) 0.0e+00 nan   

  per-point detail rows (exp_0921 convention M-1: BLER@1/@2/@8/@16, BER@16, NMSE median all / success-only, rescued/lost 2->16, tauL@1, failure-class %):
   SNR -3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.391 0.264 0.166 0.147 [0.134,0.161]  BER@16=5.06e-02  NMSE med@1/@16=0.3112/0.3112 ok=0.3102  resc/lost(2->16)=300/0  tauL@1=0.507  fail% stuck/cyc2/other=4.6/1.1/9.0
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.391 0.292 0.264 0.262 [0.245,0.279]  BER@16=8.74e-02  NMSE med@1/@16=0.3112/0.1259 ok=0.1161  resc/lost(2->16)=78/0  tauL@1=0.507  fail% stuck/cyc2/other=25.6/0.0/0.5
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.391 0.217 0.133 0.113 [0.102,0.126]  BER@16=4.15e-02  NMSE med@1/@16=0.3112/0.1198 ok=0.1165  resc/lost(2->16)=266/0  tauL@1=0.507  fail% stuck/cyc2/other=2.5/2.0/6.9
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.585 0.484 0.426 0.416 [0.397,0.436]  BER@16=1.45e-01  NMSE med@1/@16=0.5290/0.4965 ok=0.4708  resc/lost(2->16)=174/0  tauL@1=1.589  fail% stuck/cyc2/other=38.0/0.8/2.9
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.422 0.341 0.845 0.845 [0.830,0.858]  BER@16=6.55e-01  NMSE med@1/@16=0.1409/1.4635 ok=0.1182  resc/lost(2->16)=28/1317  tauL@1=0.328  fail% stuck/cyc2/other=11.2/72.2/1.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.422 0.335 0.318 0.318 [0.301,0.337]  BER@16=1.05e-01  NMSE med@1/@16=0.1409/0.1299 ok=0.1160  resc/lost(2->16)=42/0  tauL@1=0.328  fail% stuck/cyc2/other=30.8/0.4/0.6
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.379 0.205 0.118 0.099 [0.088,0.111]  BER@16=3.59e-02  NMSE med@1/@16=0.2530/0.1001 ok=0.0972  resc/lost(2->16)=273/0  tauL@1=0.580  fail% stuck/cyc2/other=2.0/1.7/6.2
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.353 0.177 0.100 0.081 [0.071,0.092]  BER@16=2.92e-02  NMSE med@1/@16=0.2249/0.0870 ok=0.0845  resc/lost(2->16)=246/0  tauL@1=0.664  fail% stuck/cyc2/other=1.5/1.8/4.8
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 1.000 1.000 1.000 1.000 [0.999,1.000]  BER@16=4.94e-01  NMSE med@1/@16=134.4912/36.5208 ok=nan  resc/lost(2->16)=0/0  tauL@1=0.002  fail% stuck/cyc2/other=0.2/9.3/90.5
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.195 0.075 0.025 0.020 [0.016,0.027]  BER@16=7.41e-03  NMSE med@1/@16=0.1086/0.0280 ok=0.0275  resc/lost(2->16)=140/0  tauL@1=0.659  fail% stuck/cyc2/other=0.6/0.3/1.2
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.199 0.082 0.032 0.027 [0.021,0.034]  BER@16=9.25e-03  NMSE med@1/@16=0.1069/0.0275 ok=0.0270  resc/lost(2->16)=142/0  tauL@1=0.592  fail% stuck/cyc2/other=1.4/0.1/1.2
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.199 0.090 0.035 0.029 [0.023,0.037]  BER@16=1.08e-02  NMSE med@1/@16=0.1069/0.0299 ok=0.0295  resc/lost(2->16)=156/0  tauL@1=0.592  fail% stuck/cyc2/other=1.6/0.0/1.3
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.368 0.190 0.113 0.102 [0.091,0.114]  BER@16=3.84e-02  NMSE med@1/@16=0.2276/0.0882 ok=0.0851  resc/lost(2->16)=226/0  tauL@1=0.579  fail% stuck/cyc2/other=4.2/1.0/5.0
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.083 0.027 0.011 0.009 [0.006,0.013]  BER@16=3.06e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=47/0  tauL@1=0.473  fail% stuck/cyc2/other=0.4/0.2/0.3
   SNR +0 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.168 0.109 0.055 0.044 [0.036,0.052]  BER@16=1.62e-02  NMSE med@1/@16=0.1868/0.1868 ok=0.1867  resc/lost(2->16)=167/0  tauL@1=0.300  fail% stuck/cyc2/other=0.6/0.7/3.0
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.168 0.128 0.107 0.104 [0.092,0.116]  BER@16=3.43e-02  NMSE med@1/@16=0.1868/0.0643 ok=0.0627  resc/lost(2->16)=63/0  tauL@1=0.300  fail% stuck/cyc2/other=9.1/0.1/1.2
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.168 0.100 0.055 0.046 [0.038,0.054]  BER@16=1.78e-02  NMSE med@1/@16=0.1868/0.0633 ok=0.0626  resc/lost(2->16)=139/0  tauL@1=0.300  fail% stuck/cyc2/other=0.5/0.7/3.4
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.302 0.234 0.191 0.187 [0.172,0.203]  BER@16=6.57e-02  NMSE med@1/@16=0.3432/0.2980 ok=0.2898  resc/lost(2->16)=121/0  tauL@1=0.396  fail% stuck/cyc2/other=13.5/0.8/4.4
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.204 0.154 0.534 0.533 [0.513,0.552]  BER@16=4.49e-01  NMSE med@1/@16=0.0669/0.2112 ok=0.0626  resc/lost(2->16)=32/1002  tauL@1=0.183  fail% stuck/cyc2/other=1.8/49.6/2.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.204 0.158 0.146 0.145 [0.132,0.159]  BER@16=4.73e-02  NMSE med@1/@16=0.0669/0.0651 ok=0.0626  resc/lost(2->16)=34/0  tauL@1=0.183  fail% stuck/cyc2/other=13.7/0.4/0.4
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.166 0.088 0.044 0.037 [0.030,0.045]  BER@16=1.42e-02  NMSE med@1/@16=0.1529/0.0538 ok=0.0532  resc/lost(2->16)=130/0  tauL@1=0.352  fail% stuck/cyc2/other=0.5/0.5/2.7
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.151 0.071 0.037 0.032 [0.026,0.039]  BER@16=1.26e-02  NMSE med@1/@16=0.1339/0.0472 ok=0.0468  resc/lost(2->16)=100/0  tauL@1=0.401  fail% stuck/cyc2/other=0.4/0.5/2.3
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.997 0.997 1.000 1.000 [0.998,1.000]  BER@16=4.89e-01  NMSE med@1/@16=64.3206/19.4750 ok=0.7492  resc/lost(2->16)=1/8  tauL@1=0.002  fail% stuck/cyc2/other=0.3/10.7/89.0
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.073 0.027 0.008 0.007 [0.004,0.011]  BER@16=2.59e-03  NMSE med@1/@16=0.0542/0.0145 ok=0.0145  resc/lost(2->16)=52/0  tauL@1=0.438  fail% stuck/cyc2/other=0.2/0.0/0.4
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.075 0.030 0.013 0.012 [0.009,0.017]  BER@16=3.92e-03  NMSE med@1/@16=0.0530/0.0142 ok=0.0141  resc/lost(2->16)=46/0  tauL@1=0.398  fail% stuck/cyc2/other=0.9/0.0/0.3
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.075 0.031 0.013 0.011 [0.008,0.016]  BER@16=3.83e-03  NMSE med@1/@16=0.0530/0.0153 ok=0.0152  resc/lost(2->16)=51/0  tauL@1=0.398  fail% stuck/cyc2/other=0.6/0.0/0.5
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.160 0.085 0.051 0.043 [0.035,0.051]  BER@16=1.57e-02  NMSE med@1/@16=0.1357/0.0474 ok=0.0469  resc/lost(2->16)=109/0  tauL@1=0.347  fail% stuck/cyc2/other=1.4/0.5/2.3
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.037 0.014 0.005 0.004 [0.002,0.007]  BER@16=1.33e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=26/0  tauL@1=0.321  fail% stuck/cyc2/other=0.3/0.0/0.1
   SNR +3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.098 0.062 0.036 0.027 [0.021,0.034]  BER@16=1.00e-02  NMSE med@1/@16=0.1045/0.1045 ok=0.1046  resc/lost(2->16)=90/0  tauL@1=0.192  fail% stuck/cyc2/other=0.5/0.6/1.6
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.098 0.070 0.057 0.053 [0.045,0.063]  BER@16=1.78e-02  NMSE med@1/@16=0.1045/0.0335 ok=0.0331  resc/lost(2->16)=43/0  tauL@1=0.192  fail% stuck/cyc2/other=4.3/0.0/1.0
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.098 0.056 0.034 0.025 [0.019,0.031]  BER@16=1.04e-02  NMSE med@1/@16=0.1045/0.0333 ok=0.0331  resc/lost(2->16)=81/0  tauL@1=0.192  fail% stuck/cyc2/other=0.2/0.5/1.7
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.185 0.132 0.098 0.093 [0.082,0.104]  BER@16=3.44e-02  NMSE med@1/@16=0.1969/0.1487 ok=0.1463  resc/lost(2->16)=102/1  tauL@1=0.141  fail% stuck/cyc2/other=4.2/0.5/4.6
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.126 0.091 0.300 0.300 [0.282,0.318]  BER@16=2.56e-01  NMSE med@1/@16=0.0343/0.0366 ok=0.0330  resc/lost(2->16)=30/565  tauL@1=0.115  fail% stuck/cyc2/other=0.5/28.1/1.3
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.126 0.098 0.090 0.089 [0.079,0.101]  BER@16=2.94e-02  NMSE med@1/@16=0.0343/0.0338 ok=0.0331  resc/lost(2->16)=22/0  tauL@1=0.115  fail% stuck/cyc2/other=7.6/1.1/0.3
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.095 0.051 0.027 0.021 [0.016,0.027]  BER@16=8.53e-03  NMSE med@1/@16=0.0862/0.0285 ok=0.0282  resc/lost(2->16)=76/0  tauL@1=0.225  fail% stuck/cyc2/other=0.1/0.5/1.5
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.087 0.042 0.021 0.018 [0.014,0.024]  BER@16=7.53e-03  NMSE med@1/@16=0.0749/0.0250 ok=0.0249  resc/lost(2->16)=60/0  tauL@1=0.254  fail% stuck/cyc2/other=0.2/0.4/1.2
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.982 0.986 0.999 0.999 [0.997,1.000]  BER@16=4.86e-01  NMSE med@1/@16=44.0196/11.4881 ok=1.6707  resc/lost(2->16)=2/35  tauL@1=0.002  fail% stuck/cyc2/other=0.3/10.0/89.6
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.039 0.009 0.005 0.005 [0.003,0.008]  BER@16=1.61e-03  NMSE med@1/@16=0.0259/0.0073 ok=0.0073  resc/lost(2->16)=12/0  tauL@1=0.309  fail% stuck/cyc2/other=0.1/0.1/0.3
