# date        : 2026-09-22 04:42:23 KST
# git commit  : 2fd1a43
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# arm list with per-arm notes (06_SPEC §5):
#   R3-bigamp     : BiG-AMP prior: i.i.d. CN(0,1/Nr) -- correlated prior not supported by Table III (structural limitation)
#   R4-llr        : same, Module B mode='llr' (the paper's 'LLR Turbo' ablation)
#   R4-scvamp     : channel estimation = classical APP-LMMSE (no LOO); only the Onsager extrinsic interface follows arXiv:2604.19061
#   R0-pilot      : 1-PASS arm -- reported at iteration index 0 ('R0-pilot (@1)'); 'pilot_C (@16)' is the
#                   SAME receiver's 16-iteration trajectory, printed for context only.
#   M-ours-*      : differ from R2-ours-G in Module H and nothing else (test M2); Module H, K and the clip
#                   rule are in the run header of conf/results/ and in the raw meta of each point.
# fit/training cost (GMM EM wall-clock) is a column of table A and is never left blank.
# aggregates KEEP failed and diverged blocks; where a subset mean is printed, the full-set mean is beside it.
# Stage C arms present in this run (10_SPEC §3b / §3c) -- the pre-registered Stage A/B verdicts are
# UNCHANGED by this file and M-ours-dscore stays BLOCKED in the pre-registered table:
#   M-ours-dscore-C-V0  : Stage C V0 (PRIMARY) -- learned prior at N', D-14 MATRIX site, pre-registered score wiring, unchanged
#   M-ours-dscore-C-V1  : Stage C V1 -- V0 + (F1) symmetric-PSD projection of the D-14 site (ScorePrior(psd_project=True))
#   M-ours-dscore-C-V4  : Stage C V4 -- D-14 matrix site REPLACED by the D-13 belief scalarisation (hsite=scalar, scal=belief); POST-HOC registered, observed in the H4 diagnostic BEFORE registration (10_SPEC §3c)
#   M-ours-dscore-C-V4b : Stage C V4b -- as V4 but scal=site instead of scal=belief (10_SPEC §3c, "동일하되 scal=site. 부수 보고용"); registered with V4, wired only on 2026-09-21 after an audit found it had been dropped
#   M-ours-bstar-scalar : Stage C CONTROL (10_SPEC §3c, MANDATORY) -- the b* GMM through V4's EXACT wiring: if scalarisation also helps the GMM, the gain belongs to the SITE, not to the learned prior
# 
# training budget (N_train, channel samples) of EVERY arm -- 10_SPEC A3.  The GMM arms and the learned arms are only equal-budget when their N_train below are EQUAL; read the numbers, not the arm names.  The GMM re-fit at N'=1.6e5 may not have finished when this table was written.
# per-arm training budget (arms absent from the raw files are simply not listed):
#   R0-pilot            : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R1-turbo            : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R2-ours-G           : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R3-bigamp           : N_train=0 -- i.i.d. CN(0,1/Nr) prior, fits nothing
#   R4-llr              : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R4-scvamp           : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-gmm32        : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-bstar        : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-dscore-C-V0  : N_train=10000  rung=D2SX10000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V1  : N_train=10000  rung=D2SX10000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4  : N_train=10000  rung=D2SX10000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt  gate: NO GATE RECORD mentions d2sx_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4b : N_train=10000 -- unclassified arm, quoting the point's channel-set size
#   M-ours-bstar-scalar : N_train=10000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R5-genie            : N_train=n/a -- genie: the true H is given
#   dscore_status       : ABSENT -- no GATE-PASSING checkpoint (04_SPEC §5 gates GA-GD): no gate-passing checkpoint for D2; recorded PASS rows: none (searched conf/results/gate_D2.txt and LADDER.md)
#   stagec_ckpt         : /home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt
#   stagec_gate         : NO GATE RECORD mentions d2sx_N10000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   stagec_status       : built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none) | V1 (psd_project=True): built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
# cell C2: 8x4 T=16 Tp=4 prior S2  SNR grid ['-3', '+0', '+3', '+6', '+9', '+12', '+15'] dB  n=2560 per point  outer iterations=16  b*=kron
#   run params as recorded in the raw file: beta=0.7  dtype=complex128/float64  iters=16  n=40  seed=20260926  skip=0  snr=-3.0  t_in=5
# ====================================================================================================
# CLAIM TESTBED -- sparse specular; conditional Gaussianity broken (see T2d). Upper bound = genie only.
# ====================================================================================================

============================== TABLE A -- per-cell arm comparison (08_SPEC §1) ==============================
cell entry = BLER (95% Wilson CI) / BER / NMSE_H  at the arm's reporting iteration
reporting iteration: @16 for every arm except R0-pilot, which is the 1-PASS arm and is read @1;
'pilot_C (@16)' is the SAME receiver's 16-iteration trajectory, printed for context only.

--- cell C2 (8x4, T=16, Tp=4, K=42)  prior S2  testbed D2   n per SNR: [2560, 2560, 2560, 2560, 2560, 2560, 2560]   b* = kron
  arms absent from the raw files (see 01_RULES §6 -- BLOCKED / FAILED-VERIFICATION): ['M-ours-dscore']
  arm                              SNR -3 dB                            SNR +0 dB                            SNR +3 dB                            SNR +6 dB                            SNR +9 dB                            SNR +12 dB                           SNR +15 dB             
  R0-pilot (@1)       0.753(0.736,0.769) 2.3e-01 3.19e-01  0.387(0.368,0.406) 1.1e-01 1.93e-01  0.179(0.165,0.195) 5.0e-02 1.09e-01  0.100(0.089,0.113) 2.7e-02 5.83e-02  0.064(0.055,0.074) 1.7e-02 3.00e-02  0.047(0.039,0.056) 1.3e-02 1.53e-02  0.036(0.030,0.044) 9.1e-03 7.79e-03 
  pilot_C (@16)       0.478(0.459,0.497) 1.7e-01 3.19e-01  0.136(0.123,0.150) 4.8e-02 1.93e-01  0.041(0.034,0.050) 1.6e-02 1.09e-01  0.025(0.020,0.032) 9.3e-03 5.83e-02  0.015(0.011,0.021) 5.9e-03 3.00e-02  0.011(0.008,0.016) 4.1e-03 1.53e-02  0.006(0.004,0.010) 2.5e-03 7.79e-03 
  R1-turbo            0.537(0.517,0.556) 1.9e-01 1.99e-01  0.213(0.197,0.229) 7.3e-02 7.13e-02  0.079(0.069,0.090) 2.8e-02 3.55e-02  0.041(0.034,0.050) 1.5e-02 1.81e-02  0.025(0.020,0.032) 9.8e-03 9.01e-03  0.019(0.014,0.025) 7.0e-03 4.51e-03  0.009(0.006,0.013) 3.4e-03 2.27e-03 
  R2-ours-G           0.329(0.311,0.347) 1.2e-01 1.37e-01  0.100(0.089,0.112) 3.8e-02 6.81e-02  0.038(0.031,0.046) 1.5e-02 3.49e-02  0.025(0.019,0.031) 1.0e-02 1.80e-02  0.012(0.008,0.017) 5.1e-03 8.97e-03  0.012(0.008,0.017) 4.8e-03 4.50e-03  0.006(0.004,0.010) 2.7e-03 2.27e-03 
  R3-bigamp           0.543(0.524,0.563) 2.0e-01 3.58e-01  0.211(0.195,0.227) 8.0e-02 1.66e-01  0.080(0.070,0.091) 3.1e-02 7.40e-02  0.053(0.045,0.062) 2.2e-02 3.13e-02  0.051(0.043,0.060) 2.1e-02 1.29e-02  0.057(0.049,0.067) 2.5e-02 5.67e-03  0.055(0.047,0.065) 2.5e-02 2.62e-03 
  R4-llr              0.866(0.852,0.879) 4.9e-01 3.68e-01  0.826(0.811,0.840) 6.4e-01 1.41e+00  0.601(0.582,0.620) 5.2e-01 1.22e+00  0.395(0.376,0.414) 3.5e-01 2.22e-02  0.276(0.259,0.293) 2.4e-01 1.01e-02  0.196(0.181,0.212) 1.7e-01 4.85e-03  0.168(0.154,0.183) 1.5e-01 2.42e-03 
  R4-scvamp           0.613(0.594,0.632) 2.2e-01 2.37e-01  0.301(0.284,0.319) 1.0e-01 7.49e-02  0.150(0.136,0.164) 5.2e-02 3.65e-02  0.093(0.083,0.105) 3.3e-02 1.85e-02  0.071(0.061,0.081) 2.4e-02 9.16e-03  0.048(0.041,0.057) 1.8e-02 4.55e-03  0.036(0.030,0.044) 1.2e-02 2.30e-03 
  M-ours-gmm32        0.276(0.259,0.294) 1.0e-01 1.13e-01  0.087(0.076,0.098) 3.3e-02 5.74e-02  0.030(0.024,0.037) 1.2e-02 3.00e-02  0.021(0.016,0.027) 8.1e-03 1.58e-02  0.008(0.005,0.013) 3.2e-03 8.11e-03  0.008(0.005,0.013) 3.2e-03 4.16e-03  0.004(0.002,0.007) 1.6e-03 2.13e-03 
  M-ours-bstar        0.252(0.236,0.270) 9.6e-02 1.04e-01  0.083(0.073,0.095) 3.1e-02 5.33e-02  0.024(0.019,0.031) 8.9e-03 2.84e-02  0.013(0.009,0.018) 4.8e-03 1.52e-02  0.008(0.005,0.013) 3.4e-03 7.83e-03  0.008(0.005,0.013) 3.5e-03 4.03e-03  0.003(0.002,0.006) 1.3e-03 2.07e-03 
  M-ours-dscore-C-V0  0.789(0.772,0.804) 3.6e-01 2.50e-01  0.887(0.874,0.899) 4.1e-01 7.51e-01  0.887(0.874,0.899) 4.1e-01 1.19e+00  0.815(0.800,0.830) 3.7e-01 1.04e+00  0.690(0.672,0.708) 3.1e-01 5.60e-01  0.506(0.487,0.526) 2.2e-01 3.33e-01  0.311(0.293,0.329) 1.3e-01 9.86e-02 
  M-ours-dscore-C-V1  0.145(0.132,0.159) 5.2e-02 5.60e-02  0.037(0.030,0.045) 1.4e-02 2.66e-02  0.009(0.006,0.014) 3.3e-03 1.34e-02  0.004(0.002,0.007) 1.6e-03 7.17e-03  0.004(0.002,0.007) 1.4e-03 3.72e-03  0.003(0.001,0.006) 1.0e-03 2.07e-03  0.002(0.001,0.004) 5.7e-04 1.13e-03 
  M-ours-dscore-C-V4  0.152(0.139,0.167) 5.4e-02 5.55e-02  0.040(0.033,0.048) 1.5e-02 2.63e-02  0.012(0.008,0.017) 4.3e-03 1.32e-02  0.005(0.003,0.009) 1.7e-03 7.02e-03  0.003(0.002,0.006) 1.2e-03 3.68e-03  0.004(0.002,0.007) 1.1e-03 2.03e-03  0.001(0.000,0.003) 3.4e-04 1.12e-03 
  M-ours-dscore-C-V4b 0.162(0.148,0.176) 5.9e-02 5.90e-02  0.038(0.032,0.046) 1.4e-02 2.76e-02  0.011(0.008,0.016) 4.3e-03 1.37e-02  0.005(0.003,0.008) 1.5e-03 7.28e-03  0.004(0.002,0.008) 1.8e-03 3.80e-03  0.003(0.002,0.006) 9.9e-04 2.09e-03  0.001(0.000,0.003) 3.6e-04 1.15e-03 
  M-ours-bstar-scalar 0.261(0.244,0.278) 9.7e-02 1.05e-01  0.081(0.071,0.092) 3.0e-02 5.31e-02  0.027(0.021,0.034) 9.6e-03 2.84e-02  0.015(0.011,0.021) 5.6e-03 1.51e-02  0.009(0.006,0.014) 3.5e-03 7.73e-03  0.011(0.008,0.016) 4.6e-03 3.97e-03  0.004(0.002,0.007) 1.5e-03 2.04e-03 
  R5-genie              0.034(0.028,0.042) 1.1e-02 nan       0.010(0.007,0.015) 3.8e-03 nan       0.005(0.003,0.008) 1.5e-03 nan       0.004(0.002,0.007) 1.3e-03 nan       0.001(0.000,0.003) 2.8e-04 nan       0.001(0.000,0.003) 1.7e-04 nan       0.001(0.000,0.003) 3.9e-04 nan    

  per-point detail rows (exp_0921 convention M-1: BLER@1/@2/@8/@16, BER@16, NMSE median all / success-only, rescued/lost 2->16, tauL@1, failure-class %):
   SNR -3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.753 0.627 0.491 0.478 [0.459,0.497]  BER@16=1.65e-01  NMSE med@1/@16=0.3187/0.3187 ok=0.3035  resc/lost(2->16)=384/4  tauL@1=1.042  fail% stuck/cyc2/other=30.5/1.3/16.1
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.753 0.602 0.541 0.537 [0.517,0.556]  BER@16=1.91e-01  NMSE med@1/@16=0.3187/0.1989 ok=0.1180  resc/lost(2->16)=167/0  tauL@1=1.042  fail% stuck/cyc2/other=52.0/0.0/1.7
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.753 0.549 0.362 0.329 [0.311,0.347]  BER@16=1.24e-01  NMSE med@1/@16=0.3187/0.1365 ok=0.1188  resc/lost(2->16)=566/1  tauL@1=1.042  fail% stuck/cyc2/other=8.7/6.1/18.0
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.801 0.665 0.557 0.543 [0.524,0.563]  BER@16=2.01e-01  NMSE med@1/@16=0.4004/0.3576 ok=0.2954  resc/lost(2->16)=317/6  tauL@1=1.705  fail% stuck/cyc2/other=41.9/3.4/9.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.760 0.657 0.866 0.866 [0.852,0.879]  BER@16=4.94e-01  NMSE med@1/@16=0.2330/0.3683 ok=0.1184  resc/lost(2->16)=45/580  tauL@1=0.705  fail% stuck/cyc2/other=40.7/43.6/2.3
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.760 0.651 0.614 0.613 [0.594,0.632]  BER@16=2.17e-01  NMSE med@1/@16=0.2330/0.2369 ok=0.1180  resc/lost(2->16)=97/0  tauL@1=0.705  fail% stuck/cyc2/other=59.1/0.7/1.5
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.726 0.495 0.307 0.276 [0.259,0.294]  BER@16=1.04e-01  NMSE med@1/@16=0.2618/0.1126 ok=0.0994  resc/lost(2->16)=562/1  tauL@1=1.185  fail% stuck/cyc2/other=6.8/3.9/16.8
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.727 0.475 0.278 0.252 [0.236,0.270]  BER@16=9.56e-02  NMSE med@1/@16=0.2396/0.1041 ok=0.0919  resc/lost(2->16)=571/1  tauL@1=1.399  fail% stuck/cyc2/other=7.3/3.0/15.0
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.690 0.789 0.812 0.789 [0.772,0.804]  BER@16=3.61e-01  NMSE med@1/@16=0.2223/0.2503 ok=0.0756  resc/lost(2->16)=195/193  tauL@1=1.094  fail% stuck/cyc2/other=1.5/6.3/71.0
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.586 0.325 0.170 0.145 [0.132,0.159]  BER@16=5.24e-02  NMSE med@1/@16=0.1719/0.0560 ok=0.0510  resc/lost(2->16)=459/0  tauL@1=1.240  fail% stuck/cyc2/other=4.5/1.4/8.6
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.576 0.321 0.173 0.152 [0.139,0.167]  BER@16=5.44e-02  NMSE med@1/@16=0.1700/0.0555 ok=0.0504  resc/lost(2->16)=433/0  tauL@1=1.169  fail% stuck/cyc2/other=5.8/0.9/8.6
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.576 0.332 0.186 0.162 [0.148,0.176]  BER@16=5.86e-02  NMSE med@1/@16=0.1700/0.0590 ok=0.0538  resc/lost(2->16)=436/0  tauL@1=1.169  fail% stuck/cyc2/other=5.6/0.9/9.6
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.720 0.473 0.283 0.261 [0.244,0.278]  BER@16=9.70e-02  NMSE med@1/@16=0.2419/0.1053 ok=0.0926  resc/lost(2->16)=545/2  tauL@1=1.288  fail% stuck/cyc2/other=9.9/3.0/13.2
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.225 0.102 0.043 0.034 [0.028,0.042]  BER@16=1.14e-02  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=175/0  tauL@1=0.771  fail% stuck/cyc2/other=1.4/0.2/1.8
   SNR +0 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.387 0.242 0.152 0.136 [0.123,0.150]  BER@16=4.79e-02  NMSE med@1/@16=0.1928/0.1928 ok=0.1910  resc/lost(2->16)=272/0  tauL@1=0.623  fail% stuck/cyc2/other=3.4/1.2/9.0
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.387 0.269 0.217 0.213 [0.197,0.229]  BER@16=7.25e-02  NMSE med@1/@16=0.1928/0.0713 ok=0.0656  resc/lost(2->16)=143/0  tauL@1=0.623  fail% stuck/cyc2/other=19.3/0.0/2.0
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.387 0.218 0.117 0.100 [0.089,0.112]  BER@16=3.80e-02  NMSE med@1/@16=0.1928/0.0681 ok=0.0658  resc/lost(2->16)=304/0  tauL@1=0.623  fail% stuck/cyc2/other=2.2/1.6/6.2
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.411 0.286 0.218 0.211 [0.195,0.227]  BER@16=8.04e-02  NMSE med@1/@16=0.2367/0.1655 ok=0.1570  resc/lost(2->16)=194/0  tauL@1=0.576  fail% stuck/cyc2/other=9.7/1.5/9.8
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.442 0.333 0.825 0.826 [0.811,0.840]  BER@16=6.43e-01  NMSE med@1/@16=0.0877/1.4113 ok=0.0643  resc/lost(2->16)=46/1308  tauL@1=0.409  fail% stuck/cyc2/other=11.4/67.0/4.3
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.442 0.338 0.303 0.301 [0.284,0.319]  BER@16=1.05e-01  NMSE med@1/@16=0.0877/0.0749 ok=0.0655  resc/lost(2->16)=93/0  tauL@1=0.409  fail% stuck/cyc2/other=28.1/0.9/1.1
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.357 0.195 0.102 0.087 [0.076,0.098]  BER@16=3.28e-02  NMSE med@1/@16=0.1572/0.0574 ok=0.0555  resc/lost(2->16)=277/0  tauL@1=0.724  fail% stuck/cyc2/other=2.2/1.2/5.3
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.352 0.174 0.095 0.083 [0.073,0.095]  BER@16=3.10e-02  NMSE med@1/@16=0.1447/0.0533 ok=0.0514  resc/lost(2->16)=233/0  tauL@1=0.871  fail% stuck/cyc2/other=2.1/1.1/5.1
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.621 0.822 0.926 0.887 [0.874,0.899]  BER@16=4.09e-01  NMSE med@1/@16=0.7185/0.7509 ok=0.1621  resc/lost(2->16)=137/303  tauL@1=0.288  fail% stuck/cyc2/other=0.3/6.2/82.2
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.250 0.109 0.045 0.037 [0.030,0.045]  BER@16=1.37e-02  NMSE med@1/@16=0.0918/0.0266 ok=0.0259  resc/lost(2->16)=184/0  tauL@1=0.771  fail% stuck/cyc2/other=1.2/0.3/2.3
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.246 0.112 0.048 0.040 [0.033,0.048]  BER@16=1.46e-02  NMSE med@1/@16=0.0907/0.0263 ok=0.0255  resc/lost(2->16)=185/0  tauL@1=0.726  fail% stuck/cyc2/other=1.8/0.4/1.8
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.246 0.116 0.047 0.038 [0.032,0.046]  BER@16=1.38e-02  NMSE med@1/@16=0.0907/0.0276 ok=0.0268  resc/lost(2->16)=199/0  tauL@1=0.726  fail% stuck/cyc2/other=1.4/0.1/2.3
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.354 0.178 0.093 0.081 [0.071,0.092]  BER@16=2.99e-02  NMSE med@1/@16=0.1469/0.0531 ok=0.0515  resc/lost(2->16)=248/0  tauL@1=0.804  fail% stuck/cyc2/other=2.9/0.9/4.3
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.095 0.038 0.013 0.010 [0.007,0.015]  BER@16=3.84e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=72/0  tauL@1=0.527  fail% stuck/cyc2/other=0.4/0.1/0.6
   SNR +3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.179 0.099 0.050 0.041 [0.034,0.050]  BER@16=1.55e-02  NMSE med@1/@16=0.1091/0.1091 ok=0.1089  resc/lost(2->16)=148/0  tauL@1=0.400  fail% stuck/cyc2/other=0.9/0.4/2.9
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.179 0.106 0.080 0.079 [0.069,0.090]  BER@16=2.75e-02  NMSE med@1/@16=0.1091/0.0355 ok=0.0345  resc/lost(2->16)=69/0  tauL@1=0.400  fail% stuck/cyc2/other=6.2/0.0/1.7
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.179 0.088 0.045 0.038 [0.031,0.046]  BER@16=1.47e-02  NMSE med@1/@16=0.1091/0.0349 ok=0.0345  resc/lost(2->16)=128/0  tauL@1=0.400  fail% stuck/cyc2/other=0.7/0.3/2.8
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.196 0.133 0.091 0.080 [0.070,0.091]  BER@16=3.13e-02  NMSE med@1/@16=0.1255/0.0740 ok=0.0725  resc/lost(2->16)=135/0  tauL@1=0.277  fail% stuck/cyc2/other=2.3/0.6/5.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.242 0.155 0.602 0.601 [0.582,0.620]  BER@16=5.19e-01  NMSE med@1/@16=0.0389/1.2176 ok=0.0349  resc/lost(2->16)=44/1186  tauL@1=0.258  fail% stuck/cyc2/other=1.8/55.3/3.1
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.242 0.171 0.150 0.150 [0.136,0.164]  BER@16=5.16e-02  NMSE med@1/@16=0.0389/0.0365 ok=0.0346  resc/lost(2->16)=56/1  tauL@1=0.258  fail% stuck/cyc2/other=12.6/1.2/1.1
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.155 0.075 0.036 0.030 [0.024,0.037]  BER@16=1.18e-02  NMSE med@1/@16=0.0898/0.0300 ok=0.0297  resc/lost(2->16)=115/0  tauL@1=0.461  fail% stuck/cyc2/other=0.4/0.4/2.1
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.146 0.063 0.029 0.024 [0.019,0.031]  BER@16=8.86e-03  NMSE med@1/@16=0.0827/0.0284 ok=0.0281  resc/lost(2->16)=100/0  tauL@1=0.541  fail% stuck/cyc2/other=0.5/0.3/1.6
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.661 0.829 0.917 0.887 [0.874,0.899]  BER@16=4.11e-01  NMSE med@1/@16=2.8114/1.1946 ok=0.2693  resc/lost(2->16)=147/295  tauL@1=0.066  fail% stuck/cyc2/other=0.3/6.6/81.8
