# date        : 2026-09-22 07:30:44 KST
# git commit  : 266e7c7
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D1
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : conf/04_SPEC_diffusion.md §5 -- the pre-registered quality gates GA-GD, on every ladder checkpoint
# checkpoints : 1 found under /home/HTJ/t2/conf/ckpt_C (filter: ckpt=ckpt/sx_V3_N160000_D1_a3.pt)
# device      : cuda for the gate only; the receiver stays CPU/complex128 for every arm
# judgement   : the ladder is judged by THESE numbers and never by a BLER (01_RULES §5).
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# CIRCULAR TESTBED -- true prior is defined as a grid GMM; the GMM arm is correctly specified.
# No claim about learned priors can be made from this table.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

GA -- STRUCTURAL ZERO.  READ THIS BEFORE READING ANY GA NUMBER BELOW.
--------------------------------------------------------------------------------------------------------------
GA is identically zero by construction for this model family; it guards score-path vs x0-path inconsistency only, and PASS therefore rests on GB/GC/GD.
--------------------------------------------------------------------------------------------------------------

GD -- the FULL Wirtinger matrix (relative Frobenius error of J), tolerance 0.20 unchanged.
     GD_trace (relative error of tr(J)/N) is reported beside it and is NOT the gate.
     conf/DECISIONS.md 2026-09-20 12:35; fixed before any checkpoint was gated.

=== D1V3160000 attempt 3   ckpt/sx_V3_N160000_D1_a3.pt
    hp          {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}
    evaluated on n_eval=512 held-out samples (common.train_rng stream 10), n_jac=64, 8x4, prior S
    GA          1.11803e-15   <= 1e-06      PASS
    GB          5.91351e-02   <= 0.05       FAIL
    GC          3.52507e-01   <= 0.15       FAIL
    GD          3.44911e-01   <= 0.2        FAIL
    GD_trace    1.45260e-01   relative error of tr(J)/N -- REPORTED, NOT the gate
    VERDICT   FAIL   (PASS = GA and GB and GC and GD, 04_SPEC §5)

    per sigma grid point (the grid is the FROZEN A4 measurement; GD = full-matrix J_rel_fro)
      k            nu         sigma            GA            GB            GC            GD      GD_trace      herm_res      nmse_hat     nmse_star     alpha_hat    alpha_star  n_jac
      0   2.16952e-03   3.29357e-02   5.21567e-16   1.39833e-03   3.52507e-01   5.90720e-03   1.43505e-03   1.91079e-03   2.24800e-03   2.24486e-03   9.85226e-01   9.86642e-01     64
      1   3.03160e-03   3.89333e-02   1.46973e-16   1.83093e-03   3.39994e-01   7.81381e-03   2.04129e-03   2.57173e-03   3.12659e-03   3.12087e-03   9.79550e-01   9.81553e-01     64
      2   4.23623e-03   4.60230e-02   2.72497e-16   2.47509e-03   3.34156e-01   1.06030e-02   2.90228e-03   3.34982e-03   4.34138e-03   4.33066e-03   9.71809e-01   9.74638e-01     64
      3   5.91953e-03   5.44037e-02   1.11803e-15   3.25112e-03   3.27093e-01   1.41230e-02   4.14224e-03   4.21610e-03   6.01408e-03   5.99459e-03   9.61332e-01   9.65331e-01     64
      4   8.27170e-03   6.43106e-02   6.87415e-16   4.42274e-03   3.24494e-01   1.92971e-02   6.15983e-03   5.37581e-03   8.30775e-03   8.27117e-03   9.47094e-01   9.52965e-01     64
      5   1.15585e-02   7.60215e-02   4.56847e-16   5.99672e-03   3.20996e-01   2.61014e-02   8.46839e-03   6.45768e-03   1.14336e-02   1.13655e-02   9.28864e-01   9.36797e-01     64
      6   1.61514e-02   8.98649e-02   3.94811e-16   7.22457e-03   3.00431e-01   3.19530e-02   8.73250e-03   8.52136e-03   1.56497e-02   1.55374e-02   9.08079e-01   9.16078e-01     64
      7   2.25693e-02   1.06229e-01   8.81651e-16   1.03337e-02   3.08370e-01   4.51290e-02   1.42126e-02   1.02791e-02   2.13272e-02   2.11091e-02   8.77495e-01   8.90146e-01     64
      8   3.15374e-02   1.25573e-01   6.34624e-16   1.15876e-02   2.83168e-01   5.36134e-02   1.54793e-02   1.18882e-02   2.87999e-02   2.84700e-02   8.45258e-01   8.58548e-01     64
      9   4.40690e-02   1.48440e-01   6.10040e-16   1.35885e-02   2.65292e-01   6.42862e-02   1.79421e-02   1.36998e-02   3.85972e-02   3.80797e-02   8.06421e-01   8.21155e-01     64
     10   6.15801e-02   1.75471e-01   1.51322e-16   1.63045e-02   2.52624e-01   8.01567e-02   2.07677e-02   1.64857e-02   5.12913e-02   5.04684e-02   7.62068e-01   7.78219e-01     64
     11   8.60495e-02   2.07424e-01   1.77618e-16   1.79478e-02   2.31035e-01   8.95216e-02   2.30028e-02   1.84269e-02   6.74239e-02   6.62352e-02   7.13661e-01   7.30367e-01     64
     12   1.20242e-01   2.45196e-01   4.26553e-16   2.22063e-02   2.25123e-01   1.14453e-01   3.15322e-02   2.09257e-02   8.79536e-02   8.60429e-02   6.57329e-01   6.78507e-01     64
     13   1.68021e-01   2.89846e-01   4.13909e-16   2.39446e-02   2.04613e-01   1.25473e-01   3.27859e-02   2.69713e-02   1.13247e-01   1.10599e-01   6.03931e-01   6.23677e-01     64
     14   2.34785e-01   3.42626e-01   4.81551e-16   2.47452e-02   1.83529e-01   1.35258e-01   2.52386e-02   2.40510e-02   1.44089e-01   1.40610e-01   5.54322e-01   5.66917e-01     64
