# date        : 2026-09-25 07:23:14 KST
# git commit  : 36b12bf6
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D1
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : NEXT_EXPERIMENTS_B32e4 §1 (자격) REPORT-ONLY -- GA~GD on the D1 sibling BEST file; qualification is decided by the LAST file (samplecx.csv row 320000, PASS)
# checkpoint  : ckpt/sx_N320000_D1_best.pt sha256[:16] 31727943f4f18ee0 role best epoch 160 (= last best_epoch 160: True); last sha 2f5ee4548818cc21 epoch 200
# gate call   : score.gates_D1(prior=S, n_eval=512, n_jac=64, stream=10, device=cuda) = run_samplecx.py
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# CIRCULAR TESTBED -- true prior is defined as a grid GMM; the GMM arm is correctly specified.
# No claim about learned priors can be made from this table.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

    GA          9.83461e-16   <= 1e-06      PASS
    GB          2.58858e-03   <= 0.05       PASS
    GC          9.06687e-02   <= 0.15       PASS
    GD          7.17650e-02   <= 0.2        PASS
    GD_trace    1.03983e-02   (reported, not the gate)
    VERDICT   PASS   (report-only; the LAST file qualifies)

      k            nu         sigma            GA            GB            GC            GD      GD_trace      herm_res      nmse_hat     nmse_star     alpha_hat    alpha_star
      0   2.16952e-03   3.29357e-02   4.70362e-16  -6.14495e-06   9.06687e-02   1.58126e-03   5.65303e-04   1.06998e-03   2.24485e-03   2.24486e-03   9.86084e-01   9.86642e-01
      1   3.03160e-03   3.89333e-02   1.48760e-16  -1.57881e-05   7.38852e-02   1.65295e-03   1.40440e-04   1.30163e-03   3.12082e-03   3.12087e-03   9.81512e-01   9.81553e-01
      2   4.23623e-03   4.60230e-02   2.70078e-16   1.71227e-05   7.55100e-02   2.42183e-03   7.95561e-04   1.74277e-03   4.33073e-03   4.33066e-03   9.75413e-01   9.74638e-01
      3   5.91953e-03   5.44037e-02   9.83461e-16   2.24281e-05   6.95292e-02   2.92106e-03   2.82618e-04   2.49751e-03   5.99473e-03   5.99459e-03   9.65501e-01   9.65331e-01
      4   8.27170e-03   6.43106e-02   6.18723e-16   9.15265e-05   6.72746e-02   3.88752e-03   3.47435e-04   3.45176e-03   8.27193e-03   8.27117e-03   9.53078e-01   9.52965e-01
      5   1.15585e-02   7.60215e-02   4.05801e-16   1.88036e-04   6.50712e-02   5.20378e-03   9.94248e-04   4.41338e-03   1.13676e-02   1.13655e-02   9.37725e-01   9.36797e-01
      6   1.61514e-02   8.98649e-02   3.73399e-16   2.99333e-04   6.20092e-02   6.60579e-03   9.36792e-04   5.46832e-03   1.55421e-02   1.55374e-02   9.16892e-01   9.16078e-01
      7   2.25693e-02   1.06229e-01   8.07732e-16   4.25228e-04   5.92495e-02   8.40805e-03   1.17460e-03   6.96728e-03   2.11181e-02   2.11091e-02   8.91138e-01   8.90146e-01
      8   3.15374e-02   1.25573e-01   5.67833e-16   5.94500e-04   5.68045e-02   1.05628e-02   9.94944e-04   9.84262e-03   2.84869e-02   2.84700e-02   8.57896e-01   8.58548e-01
      9   4.40690e-02   1.48440e-01   5.71418e-16   7.54451e-04   5.34232e-02   1.30540e-02   1.08828e-03   1.30421e-02   3.81085e-02   3.80797e-02   8.20813e-01   8.21155e-01
     10   6.15801e-02   1.75471e-01   1.50480e-16   9.79687e-04   5.00530e-02   1.59852e-02   1.40726e-03   1.65851e-02   5.05179e-02   5.04684e-02   7.78898e-01   7.78219e-01
