# date        : 2026-09-21 14:02:51 KST
# git commit  : bce4e62
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D1
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : conf/04_SPEC_diffusion.md §5 -- the pre-registered quality gates GA-GD, on every ladder checkpoint
# checkpoints : 1 found under /home/HTJ/t2/conf/ckpt_C (filter: ckpt=ckpt/sx_N160000_D1.pt)
# device      : cuda for the gate only; the receiver stays CPU/complex128 for every arm
# judgement   : the ladder is judged by THESE numbers and never by a BLER (01_RULES §5).
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# CIRCULAR TESTBED -- true prior is defined as a grid GMM; the GMM arm is correctly specified.
# No claim about learned priors can be made from this table.
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

GA -- STRUCTURAL ZERO.  READ THIS BEFORE READING ANY GA NUMBER BELOW.
--------------------------------------------------------------------------------------------------------------
GA is identically zero by construction for this model family; it guards score-path vs x0-path inconsistency only, and PASS therefore rests on GB/GC/GD.
--------------------------------------------------------------------------------------------------------------

GD -- the FULL Wirtinger matrix (relative Frobenius error of J), tolerance 0.20 unchanged.
     GD_trace (relative error of tr(J)/N) is reported beside it and is NOT the gate.
     conf/DECISIONS.md 2026-09-20 12:35; fixed before any checkpoint was gated.

=== SX160000 attempt 1   ckpt/sx_N160000_D1.pt
    hp          {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}
    evaluated on n_eval=512 held-out samples (common.train_rng stream 10), n_jac=64, 8x4, prior S
    GA          9.87861e-16   <= 1e-06      PASS
    GB          2.65940e-03   <= 0.05       PASS
    GC          9.98591e-02   <= 0.15       PASS
    GD          7.18281e-02   <= 0.2        PASS
    GD_trace    7.46233e-03   relative error of tr(J)/N -- REPORTED, NOT the gate
    VERDICT   PASS   (PASS = GA and GB and GC and GD, 04_SPEC §5)

    per sigma grid point (the grid is the FROZEN A4 measurement; GD = full-matrix J_rel_fro)
      k            nu         sigma            GA            GB            GC            GD      GD_trace      herm_res      nmse_hat     nmse_star     alpha_hat    alpha_star  n_jac
      0   2.16952e-03   3.29357e-02   4.67924e-16  -3.39820e-05   9.98591e-02   1.61081e-03   4.80807e-04   1.37580e-03   2.24478e-03   2.24486e-03   9.86167e-01   9.86642e-01     64
      1   3.03160e-03   3.89333e-02   1.39575e-16  -4.94336e-05   8.72218e-02   2.02364e-03   2.69474e-04   1.91447e-03   3.12072e-03   3.12087e-03   9.81384e-01   9.81553e-01     64
      2   4.23623e-03   4.60230e-02   2.67374e-16  -3.94778e-05   8.34538e-02   2.71496e-03   3.04800e-04   2.72887e-03   4.33049e-03   4.33066e-03   9.74731e-01   9.74638e-01     64
      3   5.91953e-03   5.44037e-02   9.87861e-16  -3.06972e-05   8.13562e-02   3.65116e-03   4.28728e-04   3.60415e-03   5.99441e-03   5.99459e-03   9.65522e-01   9.65331e-01     64
      4   8.27170e-03   6.43106e-02   6.20274e-16   1.41187e-04   8.68290e-02   5.17527e-03   1.38153e-03   4.96541e-03   8.27234e-03   8.27117e-03   9.51648e-01   9.52965e-01     64
      5   1.15585e-02   7.60215e-02   3.90164e-16   1.43034e-04   7.95657e-02   6.62909e-03   8.66085e-04   6.44541e-03   1.13671e-02   1.13655e-02   9.36245e-01   9.36797e-01     64
      6   1.61514e-02   8.98649e-02   3.72153e-16   3.02665e-04   7.32427e-02   8.18183e-03   9.85037e-04   8.24870e-03   1.55421e-02   1.55374e-02   9.16587e-01   9.16078e-01     64
      7   2.25693e-02   1.06229e-01   8.11463e-16   4.85818e-04   7.09033e-02   1.05339e-02   1.63437e-03   1.08935e-02   2.11194e-02   2.11091e-02   8.91417e-01   8.90146e-01     64
      8   3.15374e-02   1.25573e-01   5.70097e-16   8.05387e-04   6.68328e-02   1.29234e-02   1.33729e-03   1.30924e-02   2.84929e-02   2.84700e-02   8.58501e-01   8.58548e-01     64
      9   4.40690e-02   1.48440e-01   5.86721e-16   1.10699e-03   6.30495e-02   1.59387e-02   1.68586e-03   1.54901e-02   3.81219e-02   3.80797e-02   8.21647e-01   8.21155e-01     64
     10   6.15801e-02   1.75471e-01   1.51952e-16   1.42625e-03   5.96973e-02   1.95942e-02   2.02371e-03   1.73320e-02   5.05404e-02   5.04684e-02   7.78881e-01   7.78219e-01     64
     11   8.60495e-02   2.07424e-01   1.67691e-16   1.75226e-03   5.63625e-02   2.40151e-02   2.59130e-03   1.87689e-02   6.63512e-02   6.62352e-02   7.31585e-01   7.30367e-01     64
     12   1.20242e-01   2.45196e-01   4.06901e-16   1.92100e-03   5.14661e-02   2.78438e-02   2.64054e-03   2.24344e-02   8.62082e-02   8.60429e-02   6.79048e-01   6.78507e-01     64
     13   1.68021e-01   2.89846e-01   3.94861e-16   2.01617e-03   4.76647e-02   3.26633e-02   3.01059e-03   2.93217e-02   1.10822e-01   1.10599e-01   6.24208e-01   6.23677e-01     64
     14   2.34785e-01   3.42626e-01   4.72661e-16   1.86349e-03   4.35215e-02   3.75193e-02   3.60546e-03   3.62022e-02   1.40872e-01   1.40610e-01   5.67775e-01   5.66917e-01     64
     15   3.28079e-01   4.05018e-01   1.89361e-16   1.50956e-03   3.96177e-02   4.27168e-02   4.29903e-03   5.04833e-02   1.76989e-01   1.76722e-01   5.09818e-01   5.09394e-01     64
     16   4.58444e-01   4.78771e-01   1.84409e-16   1.45777e-03   3.59810e-02   4.78292e-02   5.29079e-03   5.77691e-02   2.19710e-01   2.19390e-01   4.53913e-01   4.52477e-01     64
     17   6.40610e-01   5.65955e-01   3.17375e-16   1.61299e-03   3.25171e-02   5.32244e-02   6.24849e-03   7.25561e-02   2.69316e-01   2.68882e-01   3.98480e-01   3.97227e-01     64
     18   8.95162e-01   6.69015e-01   3.09642e-16   1.77557e-03   2.97494e-02   6.00010e-02   7.34678e-03   7.85199e-02   3.25934e-01   3.25356e-01   3.45588e-01   3.44481e-01     64
     19   1.25086e+00   7.90842e-01   3.43567e-16   2.65940e-03   2.96324e-02   7.18281e-02   7.46233e-03   8.46524e-02   3.89237e-01   3.88205e-01   2.94301e-01   2.94638e-01     64

